 ,"先行研究","Expert","MCTS","Attacker","Blocker","Both"
"BA",43.9,42.48046875,23.091603053435115,20.99644128113879,19.52861952861953,18.863636363636363
"BT",47.6,43.68836291913215,21.982758620689655,24.209486166007903,17.4061433447099,17.31366459627329
"MP",46.1,42.592592592592595,24.90740740740741,20.976027397260275,21.92556634304207,17.979942693409743
"NL",43.6,43.83629191321499,32.6829268292683,29.040404040404038,26.89873417721519,29.022988505747126
"IR",47.7,40.949367088607595,19.842657342657343,19.166666666666668,17.68092105263158,14.984709480122325
"BT,MP",50.5,42.85019455252918,23.117154811715483,22.674418604651162,18.205574912891986,16.825396825396826
"BT,NL",47.7,39.77272727272727,24.356223175965667,22.916666666666664,19.756554307116104,20.557491289198605
"BT,IR",47.6,42.486702127659576,24.688796680497926,25.106382978723403,16.30859375,17.88321167883212
"MP,NL",44.5,45.55555555555556,33.52272727272727,31.170212765957444,26.900000000000002,27.500000000000004
"MP,IR",47.7,39.082969432314414,19.490131578947366,18.37539432176656,20.859375,17.178362573099413
"NL,IR",48.3,46.07142857142857,34.64285714285714,34.569377990430624,32.45192307692308,28.255813953488374
"BT,MP,NL",50.5,39.7239263803681,21.443965517241377,22.373949579831933,18.65671641791045,19.20415224913495
"BT,MP,IR",50.4,42.27386934673367,24.46808510638298,24.474789915966387,17.775665399239543,15.803571428571427
"BT,NL,IR",47.0,42.26027397260274,23.214285714285715,25.0,21.788990825688074,21.41255605381166
"MP,NL,IR",47.4,47.20496894409938,32.325581395348834,31.797235023041477,30.20361990950226,30.333333333333336
"BT,MP,NL,IR",49.5,41.64345403899721,22.0873786407767,24.53051643192488,21.832579185520363,22.757847533632287
